,"image","OCR","role","entity","abstract word","explanation","caption"
34,"memes_1459.png","FAKE
NEWS
AND
DEMOCRATS
WRONG AGAINI
LAST WEEK MICHIGAN GOVERNOR
GRETCHEN WHITMER THREATENS DOCTORS WHO
USE HYDROKYCHLOROQUINE TO TREAT COVID-19.
NOW MICHIGAN REQUESTS HYDROXYCHLOROQUINE
FROM NATIONAL STOCKPILE TO TREAT COVID-191
","villain","democrats","misinformation","the democrats are framed as spreading misinformation","a broadcast of the debate of the last week michelleocentrists doctors who use"
35,"memes_3310.png","LIBERTARIAN PARTY
ACTUAL LIBERTARIAN
CANDIDATES
[adultswim.com)
WHY DON'T PEOPLE
VOTE FOR US?
(adultswim.com
imgflip.com
","villain","libertarian party","attacking","the libertarian party is shown as attacking its own members","a picture of a person standing in front of a podium with the caption why don"
36,"memes_3418.png","Raise your hand if you agree with Trump on flag burning
Thanks to the Libertarian Party
of Arkansas for this post! To get
involved locally, go to
Ip.org/states!
","villain","donald trump","unsuitable","donald trump is portrayed as having an unsuitable ideology","thanks to the libertarian party of akkansas for this post  go to"
37,"covid_memes_155.png","HOUSE
Dr. Fauci unveils a mask that
could save millions of lives!
","hero","dr. anthony fauci","saving","dr. anthony fauci is lauded for saving many lives","a mask that could save millions of lives news quote"
38,"covid_memes_396.png","DEMOCRATS, IT IS
PRESIDENT TRUMP'S FAULT FOR
THE SPREAD OF THE CORONA VIRUS!
HI, I AM XI JINPING,
COMMUNIST LEADER OF CHINA! I HID
THE OUTBREAK OF THE VIRUS
AND CENSORED THE INFORMATION IN
THE WORLD'S MOST POPULATED COUNTRY!
","victim","donald trump","falsely blamed","Donald Trump is falsely blamed for coronavirus pandemic.","politician is endorsing politician for the presidency in a tv interview"
39,"memes_5040.png","IF MY POLITICAL PARTY
SUDDENLY ATTRACTED
RACISTS, NAZIS AND BIGOTS
TRUPU
TRUM
I WOULD BE
CHECKING MY VALUES
NERCAS CANST THE RERUBLICAN PARTY
IST THE REPUBLICAN PMATY
","villain","donald trump","racism, bigotry","donald trump is villified as inciting racism and bigotry.","a poster of a group of people applauding with the caption if my political party"
40,"covid_memes_20.png","best candidate for
JA
2020
joe biden
Kamala harris
Bernie sanders
TikTok
@eliguthrie
","hero","joe biden","ideal","joe biden is shown as the ideal candidate for elections","a man holding up a picture of himself with the words best candidate for 2020"
41,"memes_6889.png","ADOLF HITLER
PLANNED PARENTHOOD
6 MILLION
JEWS
7 MILLION
BABIES
","villain","cecile richards","restricting birth","cecile richards is villified for restricting birth of millions of babies.","a picture of a man and a woman with the words planned parenthood and 6"
42,"covid_memes_3832.png","Social Greetings Ranked by Chance
of Infection
THEFUNNYBEAVER.COM
*Chance of becoming infected
(if greeting an infected person)
","villain","fist bump","least preferred","fist bump is portrayed to be the least preferred form of greeting in covid situation.","a line graph showing the social greetings ranged by chance of infection"
43,"covid_memes_1593.png","2020 every second
BUT WAIT,
THERE'S MORE
","villain",2020,"annoying","2020 is portryed as annoying","a man in a blue shirt with a tweet saying but wait there is more"
44,"memes_853.png","HAPPY BIRTHDAY
BIG CHIEF
ENJOY YOUR DAY!
President Obama Birthday
Memes
","hero","barack obama","positively","Barack obama is wished positively for his birthday.","a picture of president obama with a congratulatory message happy birthday big chief"
45,"memes_1564.png","THESE BUFFOONS ARE THE FACE OF THE DEMOCRATIC PARTY!
#DUMB
AND
DUMBER
Maxine Waters
Thinks tin
invadeor
Nancy Pelosi:
Thinks Bus the
current Piai
#STAYPROUDMYFRIENDS
Patriots Who Dare... Join our
fight to save America! Click
Here http://bb4sp.com/ #BB4SP
Maxine waters Memes
","villain","maxine waters","unintelligent","maxine waters is shown as unintelligent","two women are on a podcast with a microphone"
46,"memes_6738.png","Biden Confused By Woman
Of Color On TV Who Isn't
Stocking Grocery Shelves
","victim","kamala harris","insinuated","Kamala harris is insinuated as woman of color.","a woman sitting at a table giving a speech to a crowd"
47,"memes_4926.png","JUST BECAUSE I HATE THE ANTI-AMERICAN
COMMIE DEMOCRATS WITH A PASSION
Oenin
DOESNT MAKE ME A REPUBLICAN EITHER
","villain","republican","dislikeable","The republicans are portrayed as dislikeable.","a man talking on a cell phone with the caption just because i hate the ant"
48,"memes_6532.png","Mike Pence: Donald why are you
kissing me, l'm a man
Donald: Joe told me in Indiana you
people do this all the time
","villain","joe biden","inappropriately","Joe Biden is portrayed to inappropriately kiss people while greeting them.","two men standing next to each other next to an american flag"
49,"memes_1591.png","What does it say America, when Democrats will vote to approve
enhancing border security for other countries, yet block and refuse
funding for the border security of their own nation right here in the
United States? Democrats have accused me repeatedly of colluding with
Russia and allowing foreign influences to effect our 2016 presidential
election in my tavor. After these past few years of this shameless
Democrat orchestrated witch hunt against me, I think we all know by
now that was bullshit. Meanwhile, they themselves have colluded with
these George Soros funded organizations that have financed all these
illegal alien caravans we had invading and swarming our southern
border for the express purpose
of Democrats hoping to exploit these hordes of
people coming from only God knows where
and registering them as Democrat voters
to aid them at influencing our 2020
presidential elections in their favor.
Now if that isn't treason folks,
if that isn't treason against the
United States and you the American
people, I don't know what is
","villain","democrats","hypocrites","the democrats are portrayed as being hypocrites","a man in a suit and tie with his hands in the air"
